R,F,M,C
8.97,2,59.98,0.0
16.2,2,21.78,0.0
9.37,2,31.98,0.0
11.93,2,78.98,0.0
9.93,2,26.04,0.0
9.7,2,25.9,0.0
16.43,2,31.18,0.0
11.0,2,354.29,0.0
12.13,2,264.49,0.0
8.1,2,61.43,0.0
7.97,2,40.4,0.0
16.8,2,72.37,0.0
8.47,2,117.96,0.03373685
9.83,2,125.32,0.0
16.9,2,79.98,0.0
11.0,2,62.97,0.0
15.87,2,25.99,0.0
16.57,2,153.28,0.0
11.27,2,245.44,0.0
14.5,2,80.55,0.0
11.13,3,128.96,0.0
8.27,2,104.1,0.0
11.17,2,81.66,0.0
8.5,2,44.98,0.0
10.1,2,92.27,0.00585425
9.23,3,103.97,0.0
8.27,2,89.72,0.0
13.67,2,119.98,0.0476266
8.73,2,34.98,0.0909573
16.93,2,315.35,0.0
14.27,2,146.03,0.0
14.47,2,113.42,0.0
16.07,2,215.97,0.0602482
13.27,2,40.26,0.0
8.53,2,57.83,0.0
13.9,2,82.98,0.0
10.53,2,39.98,0.0
14.07,2,26.56,0.0
14.3,2,39.98,0.10004
16.3,4,66.22,0.0
15.0,2,42.12,0.0
10.17,2,268.99,0.0
12.17,2,69.98,0.0
14.8,2,21.98,0.0
8.6,2,182.49,0.0
9.8,5,92.03,0.0
10.43,3,107.87,0.013560166669999998
17.13,2,15.98,0.0
15.73,2,106.76,0.0
12.7,2,31.58,0.0
9.47,2,103.6,0.0
9.33,3,91.97,0.0
14.27,2,91.84,0.039267
13.17,2,128.91,0.0
14.87,2,198.39,0.0
8.53,2,239.98,0.0
13.47,2,40.88,0.0
10.63,2,19.99,0.0
8.87,2,24.98,0.0
12.07,2,27.98,0.0
15.6,2,63.08,0.0
13.43,2,85.97,0.0
12.77,2,30.58,0.0
9.6,2,33.98,0.0
9.8,2,122.96,0.0
12.87,2,41.98,0.0
9.97,3,134.94,0.0
14.3,2,166.98,0.0
9.97,2,129.98,0.045460900000000005
10.27,2,72.69,0.0
10.53,2,24.98,0.0
16.33,2,82.95,0.039057
13.7,2,42.94,0.0
14.7,2,73.32,0.0
13.07,3,215.72,0.0071162
10.5,2,131.97,0.0
14.23,2,53.97,0.0
15.3,2,30.98,0.0
11.8,2,88.97,0.0
8.77,2,122.2,0.0
11.37,2,63.98,0.02381435
14.57,2,83.68,0.0
14.03,2,552.6,0.0
14.6,3,77.94,0.0
14.47,2,38.01,0.0
14.4,2,85.98,0.0
13.9,2,309.94,0.0
9.27,4,288.49,0.0
11.9,2,399.98,0.0
10.5,4,96.99,0.0773039
16.4,2,46.86,0.0
16.27,2,156.26,0.0
14.63,3,656.96,0.0
16.53,5,175.9,0.0
11.17,2,114.44,0.0
15.5,2,338.37,0.0
13.3,3,65.1,0.0
16.17,2,59.98,0.0
15.0,2,35.96,0.0
9.8,2,95.51,0.0
11.6,2,81.98,0.0
11.67,2,129.98,0.0
8.33,2,63.98,0.0
8.57,2,109.98,0.0454589
10.03,2,79.98,0.0
10.0,2,35.2,0.0
12.6,3,59.96,0.0
10.67,2,109.1,0.0
8.57,3,118.97,0.0
9.83,2,219.97,0.0
16.67,2,97.36,0.0
13.43,2,210.73,0.01597465
14.8,2,64.96,0.0
11.73,2,71.98,0.0
13.33,3,40.62,0.0
12.93,2,110.98,0.0
14.9,2,49.44,0.0
16.8,2,199.48,0.0
9.47,2,57.98,0.0
12.53,2,45.98,0.0
14.1,2,29.98,0.0
13.8,2,232.67,0.0
10.3,2,124.1,0.0
12.7,2,108.76,0.0
8.77,2,64.57,0.0454807
14.0,2,31.98,0.0
9.53,2,73.98,0.0
13.53,2,43.98,0.09094695
13.3,2,56.98,0.0
10.53,2,519.98,0.0
11.93,2,48.77,0.0
9.73,2,49.52,0.074129
12.93,2,65.33,0.0
15.3,2,220.55,0.0
10.8,2,29.54,0.0
9.63,2,139.9,0.0
11.93,2,94.52,0.0
17.0,2,81.68,0.0
10.4,2,30.01,0.0
13.4,2,210.28,0.0
11.43,2,32.36,0.0
15.2,2,120.07,0.0
13.0,2,103.98,0.1000092
15.03,2,62.36,0.0
8.8,2,55.08,0.0
15.77,2,33.98,0.0
16.77,2,209.54,0.0
16.8,2,21.08,0.0
15.3,3,319.97,0.0
9.97,2,111.65,0.0
9.2,3,172.97,0.0
14.03,2,51.84,0.0
12.17,2,214.34,0.0
14.0,2,33.33,0.0
16.7,2,41.55,0.0
8.53,3,57.89,0.0
12.63,2,51.9,0.0
14.87,2,59.76,0.0
14.07,2,27.98,0.0
14.93,2,365.09,0.0
12.33,2,98.96,0.0238166
15.17,2,72.24,0.0
8.83,3,68.84,0.0
13.43,2,52.98,0.0
12.3,2,25.63,0.0
11.07,3,314.56,0.0
14.3,2,99.98,0.0
8.93,2,39.98,0.0
15.07,2,91.96,0.0
12.47,2,63.95,0.0
16.33,2,33.98,0.0
12.73,2,88.9,0.0
15.47,2,128.55,0.08689595
9.53,2,93.97,0.0
12.17,2,65.97,0.0
9.37,2,31.98,0.0
10.17,4,55.96,0.0
14.87,2,41.94,0.0
8.73,4,116.36,0.0
9.23,2,44.4,0.0
11.13,2,37.54,0.0
13.4,2,43.98,0.0
9.23,2,41.94,0.0
9.87,3,37.65,0.0
13.67,2,63.26,0.0
12.03,2,43.98,0.0
13.07,2,25.9,0.0
11.73,2,43.98,0.0
12.4,2,42.03,0.0
16.63,2,206.98,0.0
9.7,2,238.9,0.0
14.13,2,33.98,0.0
14.5,3,48.99,0.0
10.4,4,469.96,0.045084925
15.6,2,19.98,0.0
9.0,2,25.98,0.0
16.93,2,119.52,0.0
9.93,2,92.98,0.0
16.0,3,49.72,0.0
9.9,2,64.89,0.0
16.3,2,99.57,0.0
10.6,2,24.98,0.0
10.17,2,36.35,0.0
15.4,2,30.98,0.0
15.27,2,56.56,0.0
8.6,4,159.96,0.0
16.0,2,137.29,0.0
9.63,3,196.91,0.0
13.47,2,91.62,0.0
10.23,2,118.97,0.086619
10.37,2,274.9,0.0
11.43,2,81.4,0.0192569
10.17,2,97.08,0.0
11.4,2,82.98,0.0
8.37,2,189.96,0.0
11.13,2,86.96,0.0
13.5,2,42.34,0.0
9.83,2,61.91,0.0
8.47,2,63.36,0.0
14.33,2,162.19,0.0
11.57,2,72.84,0.0
15.87,2,5.98,0.0
15.33,2,179.51,0.00783915
11.03,2,114.73,0.08329805
16.43,2,27.06,0.0
8.43,2,65.32,0.0
11.0,2,57.95,0.0
15.0,2,23.98,0.0
9.27,2,49.98,0.0
13.97,2,31.98,0.0
14.87,2,195.75,0.0
16.67,2,309.98,0.0
9.7,2,135.0,0.0
15.27,2,38.79,0.0
11.43,2,199.6,0.0
8.67,3,55.89,0.0
11.4,2,27.98,0.0
12.2,2,56.16,0.0
12.07,2,154.41,0.0
11.43,2,53.98,0.0
11.67,2,183.19,0.0
9.47,2,24.58,0.0
12.5,2,40.97,0.0454841
13.03,2,87.42,0.0
15.63,2,55.02,0.0
11.23,4,221.32,0.028855900000000007
14.33,2,202.98,0.0765433
9.53,2,71.53,0.0
15.13,3,82.58,0.0
13.1,2,337.96,0.0
8.87,2,29.98,0.0
13.43,2,32.34,0.0
16.8,2,93.74,0.0
15.33,2,209.89,0.0
12.9,2,21.61,0.0
9.63,2,108.89,0.0
9.73,2,57.98,0.0
11.07,2,44.54,0.02386215
16.63,2,239.97,0.0
12.47,3,136.64,0.0041895000000000005
12.13,2,106.98,0.0
15.6,2,56.98,0.0
16.23,2,31.98,0.0
16.8,2,24.11,0.0
12.7,2,29.98,0.0
16.4,2,28.1,0.0
10.37,2,43.94,0.0
16.6,2,37.48,0.0
11.07,3,169.96,0.0
13.37,2,55.98,0.0
9.17,2,49.83,0.0
10.87,2,32.75,0.0
11.3,3,191.94,0.01587773333
16.3,2,140.31,0.0145489
16.27,2,75.16,0.0
7.97,2,25.9,0.0
14.13,2,51.97,0.0
10.57,2,294.96,0.0
15.03,2,117.25,0.0
11.67,2,32.98,0.0
14.1,3,216.71,0.0
10.7,2,59.98,0.0833565
9.53,2,73.27,0.033594599999999995
12.07,2,52.98,0.0
10.0,3,54.89,0.0
12.77,2,33.96,0.0
16.47,2,29.08,0.0
11.0,2,46.23,0.0
11.1,2,83.28,0.0
15.03,2,78.52,0.0
14.4,2,200.82,0.04397485
14.57,3,350.87,0.01586843333
14.6,2,31.46,0.0
10.67,2,103.76,0.0
13.63,2,47.77,0.0
11.23,2,10.98,0.0
13.6,2,71.09,0.0
15.13,3,292.35,0.06667226667000001
10.17,2,19.98,0.0
11.7,4,150.69,0.0
14.43,2,58.7,0.0
8.57,2,59.81,0.0
9.63,2,112.71,0.0
15.3,3,450.77,0.09091973332999999
9.37,2,45.44,0.0
13.07,2,230.72,0.0
10.33,2,29.98,0.0
12.87,2,172.49,0.0
16.67,2,279.98,0.0
12.7,2,39.66,0.0
16.53,2,117.24,0.0
13.0,2,102.97,0.0
15.27,2,29.1,0.0
14.57,2,325.46,0.0
9.53,2,75.18,0.0
12.27,2,56.98,0.0
10.23,2,31.98,0.0
15.53,2,21.98,0.0
16.03,2,49.96,0.09097625
11.1,4,39.98,0.0
12.2,2,18.68,0.0
9.87,2,163.94,0.0
8.83,2,30.98,0.0
14.23,2,81.97,0.0454654
12.4,2,39.98,0.02382085
10.8,2,59.97,0.0
10.87,2,569.98,0.0
11.07,2,138.92,0.1107046
14.9,3,32.04,0.0
16.57,2,117.18,0.0
15.23,2,36.01,0.0
15.2,2,46.13,0.0
12.6,2,35.98,0.0
9.3,2,85.74,0.0
9.83,2,50.2,0.0746016
8.67,2,371.97,0.0
8.83,2,108.89,0.0
16.07,2,92.2,0.0
16.9,2,164.74,0.00944755
13.37,2,79.42,0.0
12.47,2,82.98,0.02381255
12.77,2,60.28,0.0
15.57,2,83.7,0.0
9.03,2,66.69,0.0
14.77,2,33.98,0.0
12.33,2,59.98,0.0909366
12.5,2,74.67,0.0
16.13,2,35.54,0.0
11.3,2,57.62,0.0
16.83,2,115.96,0.015055200000000003
16.17,2,131.96,0.0
9.13,2,147.62,0.0
16.87,2,50.74,0.0
10.27,2,134.98,0.0
16.8,3,181.62,0.0
16.77,2,67.98,0.0
15.8,5,99.68,0.0
13.17,2,387.97,0.0
9.3,2,46.97,0.0
11.47,2,109.61,0.0
14.5,2,161.94,0.02381795
16.9,2,259.98,0.0
8.73,3,246.96,0.03031026667
14.77,2,44.55,0.0
9.23,2,193.88,0.0
13.1,2,70.0,0.0
8.73,2,49.96,0.0
15.47,2,175.52,0.0
16.8,2,119.97,0.0
10.67,2,60.05,0.0
15.57,2,38.54,0.0
11.33,2,86.98,0.0
11.33,2,285.48,0.0
14.7,2,84.0,0.0
14.27,2,83.5,0.0
9.2,2,74.98,0.0238133
10.83,2,12.49,0.0
11.9,2,125.97,0.05417585
8.27,2,129.98,0.0
10.5,2,39.98,0.0909504
8.23,2,80.53,0.0
10.0,2,35.97,0.0
14.03,3,35.48,0.0
14.73,2,269.98,0.0370384
10.33,2,81.48,0.0
16.27,2,26.93,0.0
16.57,2,66.98,0.0
9.23,2,52.07,0.0
10.37,2,439.98,0.0
14.87,2,66.1,0.0
9.5,2,67.76,0.0
12.4,2,47.98,0.0
10.67,2,37.98,0.0
8.13,2,108.62,0.0
13.33,2,56.97,0.0
10.63,2,32.98,0.0
13.17,2,93.97,0.0
16.63,3,137.11,0.0
8.63,2,21.48,0.0
8.97,2,231.98,0.0
9.47,2,66.7,0.0870055
16.6,2,112.96,0.0
14.17,2,130.57,0.0
12.0,2,85.96,0.0
15.23,2,55.98,0.0
13.53,2,64.98,0.0
12.3,2,47.68,0.0
12.57,3,68.62,0.0
10.83,2,42.03,0.0
10.37,3,282.97,0.0
13.73,2,103.98,0.10785255
13.43,2,311.96,0.0
8.37,2,28.98,0.0
16.23,2,314.98,0.0694483
15.17,2,212.76,0.0
12.27,2,30.16,0.0
8.5,2,59.98,0.0
13.3,2,73.94,0.0
9.53,2,27.98,0.0454841
13.1,2,37.95,0.0
16.73,2,52.68,0.0
15.43,2,89.98,0.0
14.53,2,56.63,0.0
9.6,3,88.69,0.0
13.7,2,31.98,0.0
9.03,2,268.85,0.0
14.3,2,48.97,0.0
11.67,2,45.98,0.0
12.17,2,106.85,0.10250145
14.37,2,60.98,0.0
13.37,2,430.08,0.0
11.53,5,328.93,0.04447842
9.03,2,65.98,0.0
12.83,2,49.14,0.0
16.33,2,17.8,0.0
15.9,3,65.84,0.0
11.3,2,62.33,0.0
14.8,2,71.28,0.0
8.5,2,331.97,0.0
13.2,2,36.58,0.0
9.3,2,79.15,0.0
10.6,2,218.24,0.0
16.13,2,225.89,0.0
16.27,2,27.85,0.0
12.8,3,193.97,0.0719017
9.3,2,66.05,0.0
14.07,2,62.98,0.0
10.6,4,167.51,0.04351325
11.2,2,159.08,0.0
12.93,2,142.56,0.0
12.0,2,35.98,0.0
10.13,2,163.8,0.0
8.13,2,45.98,0.0
13.23,2,85.98,0.0
11.9,2,73.98,0.0
15.07,2,62.97,0.0
14.77,2,21.18,0.0
13.4,3,158.97,0.0
11.9,2,59.75,0.0
14.3,2,21.98,0.0
10.5,2,309.98,0.0
8.23,3,65.97,0.0
12.03,2,34.12,0.0
11.57,2,73.24,0.0435365
16.13,2,54.98,0.0
10.0,2,43.9,0.0
13.9,3,107.97,0.0
11.13,2,106.4,0.0
12.87,2,124.44,0.0
9.13,2,39.98,0.0
14.2,2,23.31,0.0
14.4,2,54.98,0.0
15.2,2,35.77,0.0
9.7,2,69.44,0.0
16.73,2,58.46,0.0
14.17,3,648.02,0.0
15.67,2,42.98,0.0
14.3,3,160.83,0.0
12.93,2,45.98,0.0
14.83,2,249.98,0.0
12.63,2,108.97,0.0
12.27,2,98.28,0.0
9.77,2,79.96,0.0
14.6,2,44.9,0.0
14.4,2,77.98,0.0
15.93,2,53.98,0.0
16.93,2,75.98,0.0
9.8,2,339.98,0.0
15.73,2,46.74,0.0
15.3,2,73.99,0.0
15.07,2,43.35,0.0
10.1,2,100.14,0.0
15.63,2,53.98,0.0
9.13,2,61.76,0.0
9.17,2,47.96,0.0
14.63,2,262.93,0.0
10.17,2,170.48,0.0
9.37,2,69.97,0.0
14.07,2,165.51,0.0
17.07,2,269.96,0.0
13.33,2,355.95,0.0
14.63,2,66.53,0.0
10.33,2,56.78,0.0
14.47,2,47.98,0.0
16.6,2,269.97,0.0
14.97,3,87.42,0.0
11.63,2,50.98,0.0
14.53,2,154.47,0.0
15.27,2,89.98,0.0
10.13,2,67.9,0.0
12.43,2,53.96,0.09097045
11.3,2,29.97,0.0
15.8,2,224.52,0.0
8.27,2,44.74,0.0
13.47,3,159.96,0.02149756667
16.03,2,62.0,0.0
9.77,2,224.95,0.04550965
11.5,2,53.98,0.0
10.77,2,35.98,0.0
15.97,2,49.97,0.0
16.1,2,72.17,0.0
11.43,3,199.95,0.0
10.03,2,50.86,0.06523630000000001
10.4,2,48.29,0.0
9.37,2,144.98,0.0
8.23,2,21.26,0.0
12.43,2,45.27,0.0
15.87,2,104.56,0.0
8.73,2,22.98,0.0
11.0,2,99.3,0.0
12.0,2,167.76,0.0
9.03,2,39.98,0.02382085
8.83,2,54.89,0.0
15.83,2,114.16,0.0
11.9,3,88.16,0.0
16.1,2,128.51,0.0
12.23,2,72.42,0.0
9.9,2,193.51,0.0
10.73,2,559.98,0.0
15.5,2,159.98,0.0454597
9.73,2,108.45,0.0
15.9,2,83.26,0.02381575
13.53,2,43.98,0.0
12.93,2,14.5,0.0
10.07,2,156.48,0.0
14.73,2,71.97,0.0591193
9.23,2,69.87,0.0
9.27,2,187.97,0.0
12.27,2,38.98,0.0
8.8,2,60.23,0.0
9.3,2,53.98,0.0
11.13,3,62.22,0.0
