R,F,M,C
2.8,2,123.96,0.0
5.97,2,85.98,0.0
5.47,10,164.64,0.00476457
4.67,2,125.96,0.0380686
6.97,2,74.06,0.02832385
5.23,2,68.61,0.0
16.53,2,187.71,0.00451155
5.4,2,112.96,0.0
6.37,2,48.54,0.0
12.97,3,54.96,0.0
2.53,3,132.93,0.01449906667
2.93,2,143.92,0.04543485
7.47,2,224.24,0.0
2.17,2,275.97,0.0891565
9.63,2,51.98,0.0
8.57,2,53.98,0.0
3.8,2,90.49,0.0
12.43,2,188.96,0.02937285
5.67,2,94.98,0.11446885
3.83,2,140.96,0.0
6.67,2,49.16,0.0
1.37,2,43.98,0.1500375
5.53,2,92.98,0.0
15.47,2,54.46,0.0
0.2,2,58.5,0.0238318
11.93,2,39.97,0.0
2.7,2,47.98,0.0
12.87,2,97.98,0.0
10.6,2,63.62,0.0
6.07,2,60.29,0.0
8.97,2,408.79,0.0
14.03,3,163.97,0.0
7.47,2,296.97,0.0
4.1,2,57.6,0.0
5.4,2,239.89,0.0
0.6,2,234.98,0.0517277
7.4,2,79.98,0.0
15.53,2,115.25,0.0
2.17,2,59.97,0.0
13.3,2,268.96,0.0
12.97,2,63.82,0.0
2.23,2,226.98,0.0
-0.03,2,26.26,0.0
12.03,2,58.44,0.0311816
10.83,3,86.91,0.0
-0.03,2,34.33,0.0
1.53,2,87.41,0.0104155
12.97,2,178.94,0.12880215
7.4,2,39.98,0.0
7.57,2,579.98,0.0
9.23,2,41.94,0.0
12.97,2,86.97,0.0
6.07,2,55.31,0.0
9.97,2,50.97,0.0
6.03,2,63.98,0.0
6.2,2,267.96,0.1006847
0.9,2,39.78,0.0
15.8,2,21.98,0.0
13.1,2,21.98,0.0
5.13,3,338.96,0.0
3.33,2,80.97,0.0
6.9,2,111.96,0.0
7.93,2,25.9,0.0
4.23,2,27.62,0.0
6.67,2,259.97,0.0
14.87,2,135.38,0.0
16.63,2,187.5,0.0652073
1.63,3,56.87,0.0
5.5,2,293.97,0.0
10.33,2,175.23,0.0
5.17,2,125.27,0.0
1.73,2,98.51,0.0
0.97,3,36.97,0.36113176666999997
4.77,2,51.98,0.0
1.13,2,67.98,0.0
0.53,3,64.97,0.0
9.27,2,41.98,0.0
16.9,2,82.02,0.0
6.07,2,133.98,0.0
0.4,2,103.9,0.0
2.77,4,619.95,0.0
10.27,2,63.63,0.0
1.9,4,139.96,0.0
6.3,2,283.97,0.03472705
14.3,3,295.92,0.10205773332999998
7.8,2,197.68,0.0
14.1,2,130.62,0.0
2.43,3,206.97,0.18931663333
1.53,3,116.95,0.04348906666999999
4.9,2,96.12,0.0
10.63,2,40.95,0.0
6.53,2,192.98,0.0
8.27,2,27.14,0.0
16.0,3,137.61,0.0
1.07,2,256.98,0.03333555
11.2,2,138.72,0.0
8.37,2,107.98,0.11924805
0.3,2,106.95,0.0
0.83,2,559.98,0.0
14.1,2,30.58,0.02382405
7.1,2,279.98,0.0
3.57,3,142.93,0.0
6.03,2,73.33,0.0
0.63,2,101.76,0.0
0.73,2,30.17,0.0
3.73,2,43.38,0.0
0.83,3,66.97,0.0
6.27,2,19.98,0.0
0.0,2,39.74,0.0
3.1,2,159.49,0.0
5.17,3,641.93,0.0
6.57,2,270.97,0.0
6.33,2,266.97,0.04717575
12.4,2,105.32,0.0
3.8,2,33.97,0.0
14.27,3,86.44,0.0
3.23,2,199.0,0.0
3.9,2,51.96,0.04548635
7.1,2,31.01,0.0
12.2,2,55.44,0.0
1.93,3,145.65,0.06059766667
4.43,2,99.98,0.0909256
14.5,2,29.89,0.0
3.47,2,219.74,0.0
3.57,3,175.97,0.0
8.83,3,305.97,0.0
11.63,2,47.97,0.0
15.27,2,224.98,0.05859855
6.2,2,79.98,0.2453293
6.0,2,370.56,0.0
5.83,2,91.97,0.0
6.97,2,364.97,0.0
6.2,2,82.98,0.12266465
11.9,2,21.18,0.0
7.13,2,49.98,0.0
2.93,2,12.99,0.0909727
3.1,2,19.89,0.0
3.73,2,52.47,0.0
2.13,2,79.96,0.0
1.5,2,73.17,0.1104618
0.3,2,131.18,0.0942258
10.9,2,29.6,0.0
5.2,2,327.96,0.0
3.97,2,31.98,0.0454804
6.6,3,565.54,0.10105346667000001
4.6,3,102.88,0.0
17.07,2,105.98,0.0
8.0,3,270.97,0.0
6.83,2,71.95,0.03594965
17.03,2,47.98,0.0
15.47,2,41.24,0.0
4.07,2,179.98,0.0
13.9,2,17.91,0.0
14.9,2,27.98,0.06671115
11.5,3,200.96,0.0
9.2,3,749.97,0.0
0.9,2,28.47,0.0
0.93,2,38.85,0.0
2.63,2,70.73,0.0
3.53,2,199.99,0.1304405
6.23,2,25.9,0.0
1.57,2,49.57,0.0
7.97,2,59.98,0.0909366
4.53,2,31.98,0.06525075
3.33,2,241.37,0.10267995
3.53,2,81.54,0.0
0.93,2,479.98,0.0
2.8,2,172.9,0.0
0.93,2,51.98,0.3334188
13.33,2,124.82,0.0
11.33,2,63.62,0.0
4.03,2,259.98,0.03571685
1.3,2,253.01,0.0
1.6,2,98.91,0.0
10.57,2,179.57,0.0
6.77,2,25.9,0.0
2.5,2,51.96,0.0
4.33,2,161.94,0.0
0.3,2,101.9,0.0
3.93,2,90.91,0.0
0.47,3,40.93,0.0
9.6,2,104.53,0.0
2.3,2,54.98,0.0
11.97,3,95.12,0.0
9.23,3,1172.28,0.060611733329999994
0.07,2,37.97,0.0
5.6,2,137.97,0.0
5.83,2,62.34,0.0
1.27,3,38.97,0.3473145
11.57,2,39.98,0.0
4.97,2,44.11,0.1217377
10.9,2,91.98,0.02381235
11.7,2,143.97,0.0
1.73,2,345.91,0.0
6.13,2,322.53,0.0
12.1,2,25.9,0.0
3.2,2,47.76,0.0
7.3,2,71.98,0.0
9.83,2,52.27,0.0
3.9,2,45.3,0.0
0.0,9,2285.74,0.01058313333
6.5,2,40.98,0.06525075
15.93,2,47.32,0.0
11.47,3,573.91,0.0
7.43,2,111.98,0.21542935
3.0,2,62.97,0.020842
1.33,2,269.94,0.0098055
3.9,2,23.97,0.0
14.73,2,189.71,0.0
0.7,2,53.5,0.0
6.97,2,159.98,0.0
11.37,2,55.35,0.0
12.27,2,73.93,0.0
1.8,2,133.98,0.0
3.33,3,55.96,0.0
14.13,3,52.97,0.0
6.0,2,29.07,0.0
10.13,2,85.24,0.0
5.77,5,83.95,0.5
9.47,2,144.98,0.0
4.13,2,95.44,0.0
5.67,3,561.93,0.0
6.87,2,239.98,0.0
2.67,2,73.99,0.0615369
6.3,2,203.97,0.0
10.17,2,193.22,0.0
0.93,2,159.98,0.02381235
0.27,3,116.97,0.0
5.53,2,67.98,0.0
3.2,2,128.88,0.0
2.27,2,389.98,0.02500125
2.13,2,94.48,0.0
0.0,2,204.98,0.0
3.1,3,276.97,0.0
2.6,4,182.91,0.0
8.33,2,28.4,0.0
9.43,2,27.98,0.0
7.17,2,116.96,0.0
6.67,2,57.42,0.0
3.9,2,47.4,0.0
16.7,2,176.97,0.0
6.57,4,517.94,0.0
15.43,2,87.97,0.0
0.3,2,49.0,0.0
2.5,2,149.98,0.0
5.4,2,46.54,0.0
4.67,2,75.65,0.0
14.2,2,118.39,0.0
6.33,2,152.26,0.0
8.67,2,133.97,0.0258695
9.8,2,31.97,0.0816038
13.17,2,28.44,0.125
9.4,2,55.97,0.0
4.7,2,279.98,0.03571685
3.8,2,119.96,0.0
9.3,2,24.98,0.0
11.0,2,81.94,0.09097045
5.4,3,33.81,0.0
3.77,3,119.97,0.03030646667
1.1,2,559.98,0.0
1.8,2,29.98,0.0
5.23,2,322.9,0.0
6.73,2,60.97,0.0
13.6,2,21.48,0.0
5.23,2,179.97,0.0
15.67,2,137.98,0.03378835
15.27,2,237.02,0.0244811
3.63,2,95.98,0.0
10.4,2,49.98,0.0
0.67,2,97.55,0.0
3.4,4,72.95,0.0
5.8,2,437.95,0.0
3.1,2,141.96,0.0
5.5,2,266.97,0.0
10.97,2,43.18,0.0
3.43,2,231.98,0.0
13.83,2,64.98,0.0
5.63,2,39.98,0.0
1.67,2,68.62,0.0
13.3,2,52.98,0.0
11.3,2,45.0,0.0
15.1,2,91.46,0.0
0.0,2,94.93,0.0
11.47,2,64.97,0.02108085
4.53,2,299.98,0.0
6.67,2,65.66,0.0
6.43,2,203.92,0.00704505
6.33,2,206.97,0.0
15.77,2,309.98,0.0
11.47,3,180.83,0.0
4.07,2,124.95,0.0
3.37,2,44.64,0.0
5.67,4,427.94,0.0
6.93,2,35.98,0.0454841
3.77,2,36.97,0.0
13.57,4,263.96,0.005138225
0.33,2,93.97,0.0
6.5,2,31.88,0.06524575
5.7,2,121.85,0.0
5.47,2,205.46,0.03437135
4.73,2,133.96,0.0
2.93,2,395.82,0.0
7.93,2,19.24,0.0
5.73,2,313.97,0.0
5.37,2,74.94,0.03127605
0.07,2,42.98,0.0
9.7,2,49.98,0.0
10.63,3,23.67,0.0
6.37,2,21.98,0.1883309
8.47,2,191.98,0.114498
16.4,2,369.98,0.0
3.17,4,177.01,0.0
6.67,2,39.98,0.0
6.93,3,74.97,0.15512496667
7.13,2,157.45,0.0454683
1.03,3,514.41,0.0
11.1,2,45.21,0.0
15.17,2,57.34,0.0
0.1,3,81.97,0.0
13.63,2,21.98,0.0
1.33,2,39.78,0.0454753
16.83,2,49.98,0.0
8.83,2,81.59,0.0
15.07,2,19.95,0.0
9.8,2,108.59,0.0
4.8,2,55.88,0.0
14.63,2,68.74,0.0
6.1,2,57.12,0.0
8.83,2,39.98,0.02382085
6.9,2,242.83,0.0
2.87,3,143.95,0.0
9.97,2,549.98,0.0
5.77,2,139.98,0.0909209
10.57,2,114.76,0.0
1.2,5,1221.32,0.0
2.47,4,183.39,0.0
9.83,2,59.98,0.0
-0.03,2,82.98,0.0625078
6.87,2,254.89,0.07282765
6.2,2,23.98,0.0
3.2,2,44.18,0.0
6.63,48,815.52,0.0
2.13,2,144.96,0.0
5.67,2,83.28,0.0
2.77,2,199.99,0.0
0.53,2,106.97,0.0084639
6.07,2,520.92,0.0
0.27,2,74.08,0.0
14.6,2,82.63,0.0
9.63,3,103.97,0.0
16.17,2,21.17,0.0
6.9,3,119.97,0.0
-0.03,2,99.98,0.0
9.5,2,59.98,0.0
13.07,2,107.86,0.0
5.5,3,141.09,0.0
13.53,2,55.09,0.0
16.13,2,68.71,0.0
12.97,2,66.45,0.0
10.8,3,259.96,0.0
8.33,2,25.98,0.0
5.97,2,139.96,0.06159985
3.27,2,22.32,0.0
3.83,2,204.06,0.0
3.63,2,59.98,0.0
4.1,3,114.96,0.0
3.17,2,44.68,0.1304009
3.83,2,70.97,0.0
1.1,2,66.7,0.0
6.57,2,290.97,0.0
4.2,3,100.4,0.02786023333
6.7,2,279.2,0.0
-0.03,3,96.69,0.0
8.2,2,99.98,0.0454597
6.73,3,1019.97,0.0
11.3,2,50.97,0.0
6.07,2,266.97,0.0
5.87,2,79.03,0.0
3.3,3,389.97,0.0
6.33,2,123.96,0.0
14.3,2,38.9,0.0
5.23,2,223.25,0.0
0.97,4,489.93,0.04535105
2.43,2,179.94,0.0
7.5,2,142.49,0.0
5.73,2,149.98,0.0
11.1,2,88.84,0.0
4.8,2,36.97,0.0454752
5.9,2,303.97,0.0294135
6.3,2,274.97,0.0
2.6,12,411.81,0.0
0.13,3,93.94,0.03032026667
16.7,2,339.85,0.01457565
3.13,2,34.94,0.0
4.1,2,189.98,0.0
2.27,2,76.88,0.0781974
5.03,2,39.98,0.0
14.5,7,1565.28,0.041560428569999995
5.73,5,181.57,0.0
4.13,2,305.97,0.0
2.63,2,41.98,0.0
14.23,2,93.02,0.0
6.13,3,489.96,0.0
16.8,2,29.27,0.0
8.4,2,127.98,0.07376695
0.37,2,43.95,0.0
6.77,2,44.97,0.1972807
11.47,2,68.81,0.0
2.03,2,44.06,0.0653037
5.4,2,107.98,0.0
7.83,2,514.98,0.0
10.03,2,14.98,0.0
4.0,2,269.98,0.0
3.37,6,427.93,0.0
10.67,2,83.97,0.0
13.23,2,33.17,0.0
6.4,4,312.93,0.223457125
2.0,2,29.98,0.39329555
0.47,3,53.97,0.0
1.57,3,71.61,0.03455013333
12.03,2,52.45,0.0
2.9,2,314.97,0.0
5.6,3,419.97,0.0870322
4.73,2,93.98,0.0
1.67,2,173.79,0.0
1.03,4,149.96,0.0
10.47,2,135.0,0.0
12.67,2,102.99,0.0
1.03,2,79.98,0.0
5.43,3,517.92,0.0
5.77,2,51.04,0.0
8.1,2,119.97,0.0
3.63,2,147.44,0.0
7.13,2,28.81,0.0
12.8,2,91.29,0.0
12.67,2,52.98,0.0
9.5,2,83.14,0.0
2.9,2,79.29,0.0
4.6,2,301.88,0.0
2.83,2,44.53,0.0
10.13,2,58.93,0.0
9.03,2,188.45,0.0
11.27,2,171.96,0.0
4.27,2,259.98,0.03571685
10.37,3,29.97,0.0
0.6,2,77.97,0.0
8.4,2,95.98,0.0454597
2.17,4,48.79,0.0
0.53,2,267.98,0.0
12.2,3,44.97,0.0
9.9,3,249.51,0.0
3.5,3,156.31,0.0
5.07,3,36.94,0.0
16.77,2,70.3,0.0
5.77,3,42.97,0.5
-0.03,5,134.12,0.0
12.03,2,68.47,0.0
7.6,2,38.28,0.0
4.63,2,12.99,0.0909727
3.3,2,84.49,0.0
16.2,2,21.08,0.0
0.97,2,59.11,0.0
5.73,3,94.47,0.0
1.47,2,109.97,0.0
0.63,2,266.99,0.0
8.17,2,51.98,0.0
3.37,2,239.98,0.0384645
4.93,2,69.98,0.0
3.03,2,259.98,0.0
2.87,4,137.1,0.0
3.57,2,121.69,0.0
7.5,2,44.4,0.0
12.7,2,10.51,0.0
13.83,3,46.17,0.0
5.47,2,82.89,0.0
3.43,3,248.97,0.0
5.87,2,119.97,0.01923445
13.83,2,64.77,0.0
0.43,2,40.98,0.02381825
2.67,2,103.86,0.0238403
16.2,2,66.78,0.0
13.23,2,75.64,0.01011555
10.3,4,84.69,0.0
14.83,2,64.95,0.0
12.63,2,80.73,0.0
4.9,2,237.37,0.0
8.43,2,359.86,0.0
14.1,2,49.88,0.0
5.87,3,131.97,0.0303074
10.4,4,162.92,0.033942775
6.93,2,61.98,0.23268745
5.93,4,760.69,0.0
1.5,2,45.15,0.0
0.13,2,159.49,0.0
13.13,2,47.74,0.0
9.77,2,25.9,0.0
10.8,3,337.96,0.0
2.63,2,30.99,0.0
12.7,2,99.4,0.0
0.97,2,256.98,0.0
5.87,2,128.98,0.02830635
0.87,2,224.42,0.0
4.63,4,334.96,0.0
8.83,2,56.97,0.0
10.63,2,79.95,0.05768295
11.8,2,66.97,0.0
3.8,2,88.75,0.0
2.73,2,12.78,0.0
2.97,2,97.2,0.0
7.3,2,216.95,0.11542015
12.47,2,93.04,0.0
5.7,2,145.76,0.0
9.43,2,39.98,0.0
1.3,2,61.53,0.0421955
4.53,3,95.97,0.0
4.27,2,203.96,0.0
8.97,2,635.96,0.0
1.1,2,59.98,0.0454683
4.7,2,155.99,0.12042865
3.9,2,39.45,0.0
11.4,2,201.48,0.2041904
11.83,2,90.63,0.0
15.9,2,34.39,0.0
5.43,2,75.3,0.0
5.2,2,323.96,0.0
5.17,2,85.92,0.0
5.4,2,59.97,0.02382085
6.5,2,279.98,0.0
14.43,2,76.98,0.0
0.0,2,50.8,0.0349683
15.17,2,17.18,0.2001862
2.0,2,33.98,0.0
11.7,2,31.97,0.0
7.53,2,144.99,0.0
4.33,2,67.39,0.0
4.9,4,616.14,0.0
4.9,2,57.98,0.0
2.03,2,104.98,0.0
3.63,2,259.98,0.03571685
5.9,2,115.09,0.0
7.17,3,120.96,0.0
9.13,3,266.96,0.21140353333
8.2,2,57.98,0.0
14.57,3,46.49,0.0
1.0,2,85.87,0.00434385
11.33,2,27.98,0.0
13.87,3,72.96,0.056498966670000005
5.23,2,287.96,0.0
6.03,2,75.98,0.15387575
1.1,2,479.98,0.038463
16.57,3,59.91,0.0
6.1,2,65.98,0.0
15.7,2,23.98,0.1305294
1.57,2,107.98,0.0
4.57,2,87.63,0.0
16.67,2,35.97,0.0
4.63,2,59.18,0.08413945
7.83,2,99.98,0.02381235
7.4,2,64.98,0.09093465
0.97,5,63.92,0.21666794
1.1,4,133.4,0.0
11.73,2,49.06,0.0
11.7,2,49.29,0.0
3.17,2,89.97,0.0
8.17,2,31.98,0.0454804
2.67,2,69.98,0.1304672
3.9,2,39.98,0.0
5.03,2,62.98,0.09093535
0.7,2,125.28,0.0
7.4,2,79.98,0.0
13.97,2,28.98,0.04548635
10.5,2,69.35,0.0
4.5,2,58.48,0.0
2.0,2,99.98,0.0
4.53,2,27.53,0.0
5.7,2,59.02,0.0
16.17,2,165.97,0.0
4.0,2,59.98,0.0973493
8.13,3,982.97,0.0
0.1,5,85.39,0.0
4.1,4,194.97,0.0
13.33,2,30.18,0.0
4.23,2,69.98,0.0
3.9,2,73.92,0.0
12.07,3,87.95,0.0
0.4,2,86.98,0.0
9.47,2,29.58,0.0
3.87,2,289.98,0.0
2.73,2,47.97,0.0974419
12.77,2,434.96,0.0
9.83,2,19.98,0.0
11.1,2,27.98,0.0
9.0,2,115.97,0.0429942
0.87,2,149.49,0.07265475
15.37,3,78.08,0.0
1.47,2,650.58,0.0388071
5.83,2,34.78,0.0
5.8,2,71.56,0.03185155
1.67,2,255.56,0.0523268
1.93,2,91.04,0.0
4.57,2,382.97,0.0
0.53,4,305.97,0.0
2.07,2,60.87,0.0
4.67,3,357.95,0.0191593
9.63,2,56.18,0.06088395
5.23,4,747.93,0.008621275
0.3,3,180.15,0.0
3.53,2,102.98,0.0
16.0,2,90.08,0.0
0.23,2,101.97,0.0360899
0.63,2,77.97,0.0
11.17,2,45.55,0.0
12.07,2,45.13,0.0
12.63,2,29.97,0.0
10.53,2,77.97,0.0
13.13,2,296.43,0.0
5.27,2,42.93,0.0
16.37,2,14.48,0.0
16.13,2,114.95,0.0
1.33,2,51.98,0.0
3.63,2,121.23,0.0
7.03,2,239.98,0.0
4.97,2,287.96,0.0
13.17,3,395.91,0.0
11.3,2,75.36,0.0
3.63,2,149.99,0.0
16.03,2,46.98,0.0
3.3,2,479.98,0.0
5.27,2,196.98,0.0
9.83,2,43.98,0.0
14.53,2,203.13,0.0
12.33,3,192.99,0.0
0.33,2,125.98,0.0
0.73,3,171.94,0.0
7.53,2,293.78,0.06374415
2.47,2,30.54,0.0
10.57,2,62.98,0.0
16.23,2,131.88,0.0
12.9,2,56.98,0.0
10.63,2,55.98,0.0
2.33,2,233.97,0.0
4.7,2,189.98,0.0
15.3,2,1353.85,0.023808
0.07,2,32.25,0.0
0.13,2,24.98,0.37486965
12.7,2,76.97,0.0
7.3,2,93.62,0.0
16.63,2,119.8,0.0
6.37,2,121.89,0.0
1.9,6,164.02,0.0
5.43,2,507.94,0.0
5.27,2,129.56,0.06251075
0.3,2,119.98,0.0566127
2.97,2,145.98,0.0641108
11.3,2,45.98,0.0
7.33,2,41.98,0.11542015
9.87,2,741.55,0.0
5.23,2,387.95,0.0
2.13,2,64.98,0.04546635
7.57,3,179.97,0.046181366669999994
11.67,2,26.98,0.12925025
12.93,2,165.92,0.04547445
5.0,5,568.34,0.0
2.7,2,41.17,0.15404385
16.13,2,23.83,0.0
7.47,2,40.04,0.0
17.03,3,30.94,0.0
16.5,2,129.78,0.0
9.37,2,64.98,0.09093465
4.83,3,39.96,0.02327746667
6.23,2,108.96,0.0877583
5.73,2,61.97,0.0
13.67,3,386.96,0.03571683333
8.0,2,65.98,0.0658068
3.17,2,99.98,0.02381235
7.37,2,54.11,0.0
0.07,2,43.0,0.0
6.43,2,263.97,0.0
13.33,2,45.45,0.0210981
4.17,2,424.0,0.0
0.8,3,150.86,0.0
1.0,3,79.97,0.0
14.97,2,173.97,0.0
15.57,4,589.96,0.0
16.4,2,363.31,0.0
6.9,2,63.98,0.0
5.93,2,219.97,0.0
15.33,2,40.46,0.0
6.93,2,25.98,0.0
4.53,2,273.97,0.03247175
0.3,2,96.98,0.0833449
17.03,2,45.98,0.0
1.17,2,74.42,0.00802295
6.2,2,79.98,0.12266465
4.87,2,126.96,0.0
16.9,2,53.98,0.0
14.9,2,65.94,0.0
7.6,2,311.94,0.0
4.03,2,259.98,0.03571685
3.03,2,190.98,0.0
13.07,2,45.98,0.0
7.6,2,39.97,0.0
5.27,2,29.98,0.0
8.8,2,119.98,0.0
0.83,2,69.56,0.0
3.77,2,307.49,0.0
14.33,3,62.24,0.0
8.87,2,47.97,0.0
16.33,2,79.98,0.0
5.6,4,150.07,0.0
16.53,3,163.95,0.0
11.57,2,425.31,0.0
1.13,6,166.03,0.006770966670000001
11.6,2,43.98,0.0
4.3,2,107.98,0.0
4.17,3,410.95,0.022678833330000002
2.1,2,62.99,0.0909222
4.77,2,69.71,0.0
3.17,2,93.91,0.0
0.97,2,51.98,0.36365435
6.3,2,299.98,0.117654
0.6,2,60.69,0.0
6.07,2,48.82,0.12801425
6.47,2,74.06,0.2630758
4.23,2,129.99,0.0
11.47,3,104.97,0.00396076667
5.7,14,310.24,0.5
6.4,2,46.97,0.0
15.97,2,298.97,0.0
4.47,8,440.88,0.011364825
5.87,2,188.69,0.0
2.1,2,119.28,0.0462337
2.23,2,140.97,0.0454607
13.53,2,181.98,0.0
7.37,3,355.97,0.0
13.07,2,83.98,0.0
5.77,2,37.97,0.4695509
1.0,3,85.13,0.0
12.4,3,46.7,0.0
0.3,2,57.98,0.0
4.53,2,329.95,0.0
15.27,2,64.43,0.0
15.47,2,32.98,0.0
11.8,2,581.73,0.0
5.73,5,268.33,0.0
4.23,2,39.99,0.0
5.47,2,44.97,0.0
6.2,2,125.85,0.09785905
9.97,2,13.98,0.0
13.6,2,41.23,0.0
2.3,2,79.88,0.02830635
2.97,4,81.94,0.0159927
13.47,2,199.98,0.0
2.03,2,51.04,0.0
5.73,2,55.32,0.0
4.47,3,60.88,0.0
0.3,2,141.98,0.0
2.03,2,164.94,0.0
1.1,2,62.99,0.0
0.87,3,232.93,0.06947823333
5.37,2,74.97,0.0
11.1,2,31.98,0.0238237
3.7,2,89.98,0.0
9.8,2,169.98,0.11446885
2.5,2,165.48,0.0333466
11.6,2,144.89,0.0
13.83,2,45.38,0.0
4.3,2,99.98,0.0
6.63,2,35.98,0.0
17.07,2,397.14,0.0
1.8,2,149.98,0.0
6.03,2,79.98,0.0
4.6,2,67.99,0.0909212
12.73,2,27.98,0.0
3.2,2,53.97,0.0714541
3.37,2,273.96,0.0
8.03,2,36.95,0.0
6.4,2,512.66,0.12354235
3.63,3,279.92,0.0
4.0,2,588.67,0.0
15.83,2,131.52,0.0
1.8,2,97.97,0.05840825
9.63,2,36.79,0.0
5.43,3,151.95,0.07798983333
10.2,2,86.98,0.0
5.97,2,31.98,0.0
10.37,2,81.35,0.0
5.2,2,39.98,0.0
2.7,3,138.11,0.0
2.83,2,79.88,0.07378165
5.23,2,273.97,0.0517277
10.07,2,60.29,0.0
5.23,3,109.58,0.0
1.57,3,121.95,0.0303214
3.0,2,52.3,0.0
6.2,2,267.96,0.1006847
6.83,4,258.14,0.0
5.2,2,412.74,0.0
5.67,2,231.4,0.0
3.03,2,33.23,0.0
2.33,3,29.97,0.0
0.43,3,45.36,0.0946158
7.0,2,299.96,0.0
10.33,2,115.82,0.0
5.7,2,113.98,0.06522735
11.97,2,242.77,0.0
1.3,3,159.96,0.0
7.0,2,71.98,0.3077515
1.0,2,63.46,0.0199911
